"eq";"var";"estimate";"k1";"k2";"se";"ci_low";"ci_high"
"wdespesahat2";"ln_preco_com_reforma12";0,00918599279310294;"wdespesahat2.ln_preco_com_reforma12";"wdespesahat2_ln_preco_com_reforma12";0,0180850581299208;-0,0262607211415418;0,0446327067277476
"wdespesahat2";"ln_preco_com_reforma13";0,0414473432172681;"wdespesahat2.ln_preco_com_reforma13";"wdespesahat2_ln_preco_com_reforma13";0,0185088916104998;0,00516991566068854;0,0777247707738478
"wdespesahat2";"ln_preco_com_reforma14";-0,0251576396762204;"wdespesahat2.ln_preco_com_reforma14";"wdespesahat2_ln_preco_com_reforma14";0,00654933757124092;-0,0379943413158526;-0,0123209380365882
"wdespesahat2";"ln_preco_com_reforma15";-0,0267605726093625;"wdespesahat2.ln_preco_com_reforma15";"wdespesahat2_ln_preco_com_reforma15";0,015405695171753;-0,0569557351459985;0,00343458992727349
"wdespesahat2";"ln_preco_com_reforma16";0,00576607949345505;"wdespesahat2.ln_preco_com_reforma16";"wdespesahat2_ln_preco_com_reforma16";0,0139293512093791;-0,021535448876928;0,0330676078638381
"wdespesahat3";"ln_preco_com_reforma12";0,00395251373701692;"wdespesahat3.ln_preco_com_reforma12";"wdespesahat3_ln_preco_com_reforma12";0,0034611401778193;-0,00283132101150891;0,0107363484855428
"wdespesahat3";"ln_preco_com_reforma13";0,00874461645893996;"wdespesahat3.ln_preco_com_reforma13";"wdespesahat3_ln_preco_com_reforma13";0,00354225393888346;0,00180179873872838;0,0156874341791515
"wdespesahat3";"ln_preco_com_reforma14";-0,00608525048558171;"wdespesahat3.ln_preco_com_reforma14";"wdespesahat3_ln_preco_com_reforma14";0,00125342010228093;-0,00854195388605234;-0,00362854708511108
"wdespesahat3";"ln_preco_com_reforma15";-0,000923730028977253;"wdespesahat3.ln_preco_com_reforma15";"wdespesahat3_ln_preco_com_reforma15";0,00294836047274762;-0,0067025165555626;0,00485505649760809
"wdespesahat3";"ln_preco_com_reforma16";-0,00350468887353389;"wdespesahat3.ln_preco_com_reforma16";"wdespesahat3_ln_preco_com_reforma16";0,0026658159895057;-0,00872968821296506;0,00172031046589728
"wdespesahat4";"ln_preco_com_reforma12";-0,0175849657338361;"wdespesahat4.ln_preco_com_reforma12";"wdespesahat4_ln_preco_com_reforma12";0,0118343168692505;-0,0407802267975671;0,00561029532989499
"wdespesahat4";"ln_preco_com_reforma13";-0,0263585787259304;"wdespesahat4.ln_preco_com_reforma13";"wdespesahat4_ln_preco_com_reforma13";0,0121116607221807;-0,0500974337414045;-0,00261972371045627
"wdespesahat4";"ln_preco_com_reforma14";0,0196261303463615;"wdespesahat4.ln_preco_com_reforma14";"wdespesahat4_ln_preco_com_reforma14";0,00428568907854855;0,0112261797524064;0,0280260809403167
"wdespesahat4";"ln_preco_com_reforma15";0,0214513017505785;"wdespesahat4.ln_preco_com_reforma15";"wdespesahat4_ln_preco_com_reforma15";0,0100810225196449;0,00169249761207443;0,0412101058890825
"wdespesahat4";"ln_preco_com_reforma16";0,000979475884009666;"wdespesahat4.ln_preco_com_reforma16";"wdespesahat4_ln_preco_com_reforma16";0,00911494753482006;-0,0168858212842376;0,018844773052257
"wdespesahat5";"ln_preco_com_reforma12";0,00748090728928357;"wdespesahat5.ln_preco_com_reforma12";"wdespesahat5_ln_preco_com_reforma12";0,00709838305721675;-0,00643192350286126;0,0213937380814284
"wdespesahat5";"ln_preco_com_reforma13";-0,0148482449147203;"wdespesahat5.ln_preco_com_reforma13";"wdespesahat5_ln_preco_com_reforma13";0,00726473764556559;-0,0290871307000289;-0,000609359129411732
"wdespesahat5";"ln_preco_com_reforma14";0,000240595785124524;"wdespesahat5.ln_preco_com_reforma14";"wdespesahat5_ln_preco_com_reforma14";0,00257061417855617;-0,00479780800484557;0,00527899957509462
"wdespesahat5";"ln_preco_com_reforma15";0,0151916015901781;"wdespesahat5.ln_preco_com_reforma15";"wdespesahat5_ln_preco_com_reforma15";0,00604673343048857;0,00334000406642046;0,0270431991139356
"wdespesahat5";"ln_preco_com_reforma16";-0,00875043618216319;"wdespesahat5.ln_preco_com_reforma16";"wdespesahat5_ln_preco_com_reforma16";0,00546726860955651;-0,019466282656894;0,00196541029256757
"wdespesahat6";"ln_preco_com_reforma12";-0,0118327080391508;"wdespesahat6.ln_preco_com_reforma12";"wdespesahat6_ln_preco_com_reforma12";0,0163878980185213;-0,0439529881554526;0,020287572077151
"wdespesahat6";"ln_preco_com_reforma13";0,0447612568300565;"wdespesahat6.ln_preco_com_reforma13";"wdespesahat6_ln_preco_com_reforma13";0,0167719576002678;0,0118882199335315;0,0776342937265814
"wdespesahat6";"ln_preco_com_reforma14";-0,0214056204559478;"wdespesahat6.ln_preco_com_reforma14";"wdespesahat6_ln_preco_com_reforma14";0,0059347266365788;-0,0330376846636422;-0,00977355624825337
"wdespesahat6";"ln_preco_com_reforma15";-0,0178122165734559;"wdespesahat6.ln_preco_com_reforma15";"wdespesahat6_ln_preco_com_reforma15";0,0139599751116692;-0,0451737677923276;0,00954933464541582
"wdespesahat6";"ln_preco_com_reforma16";0,0184198499958593;"wdespesahat6.ln_preco_com_reforma16";"wdespesahat6_ln_preco_com_reforma16";0,0126221760221148;-0,00631961500748564;0,0431593149992043
